run_name,type,model,ensemble_models,accuracy,f1_macro,params,latency_ms,size_mb,retain_ratio_vs_full,train_seed,support_seed,n_per_class,tau,alpha,epochs,lr,batch_size,max_len
full_bert-base-uncased_seed0_ep2_lr2e-05_bs16_ml128,full,bert-base-uncased,,0.9464473684210526,0.9464722177742799,109485316,6.60264946679187,417.66114807128906,,0,,,,,2,2e-05,16,128
full_distilbert-base-uncased_seed0_ep2_lr2e-05_bs16_ml128,full,distilbert-base-uncased,,0.9471052631578948,0.9471282215139885,66956548,4.378400333310613,255.42286682128906,,0,,,,,2,2e-05,16,128
full_t5-small_seed0_ep2_lr2e-05_bs16_ml128,full,t5-small,,0.25092105263157893,0.10191866305157339,60506624,54.092132699861395,230.814453125,,0,,,,,2,2e-05,16,128
teacher_bert-base-uncased_fs10_supp123_seed1,teacher,bert-base-uncased,,0.6578947368421053,0.6204370978406595,109485316,5.410268033362324,417.66114807128906,0.6951202558042542,1,123,10,,,5,2e-05,8,128
teacher_bert-base-uncased_fs10_supp123_seed2,teacher,bert-base-uncased,,0.6444736842105263,0.6461176898787293,109485316,6.135565699999764,417.66114807128906,0.6809398025858474,2,123,10,,,5,2e-05,8,128
teacher_bert-base-uncased_fs10_supp123_seed0,teacher,bert-base-uncased,,0.4756578947368421,0.3805411378325326,109485316,7.653954366833204,417.66114807128906,0.5025719449464757,0,123,10,,,5,2e-05,8,128
teacher_distilbert-base-uncased_fs10_supp123_seed2,teacher,distilbert-base-uncased,,0.8252631578947368,0.8227042701019237,66956548,3.6349184664989784,255.42286682128906,0.8713531536537926,2,123,10,,,5,2e-05,8,128
teacher_distilbert-base-uncased_fs10_supp123_seed1,teacher,distilbert-base-uncased,,0.8115789473684211,0.8119509733568688,66956548,4.723770866682268,255.42286682128906,0.8569046957488191,1,123,10,,,5,2e-05,8,128
teacher_distilbert-base-uncased_fs10_supp123_seed0,teacher,distilbert-base-uncased,,0.7668421052631579,0.7494506476059904,66956548,3.259215966803216,255.42286682128906,0.8096693525979438,0,123,10,,,5,2e-05,8,128
teacher_t5-small_fs10_supp123_seed1,teacher,t5-small,,0.2681578947368421,0.14258387223613322,60506624,44.76529584999298,230.814453125,1.068694284216046,1,123,10,,,5,2e-05,8,128
teacher_t5-small_fs10_supp123_seed2,teacher,t5-small,,0.26710526315789473,0.13812055548864707,60506624,59.67434720023448,230.814453125,1.0644992134242266,2,123,10,,,5,2e-05,8,128
teacher_t5-small_fs10_supp123_seed0,teacher,t5-small,,0.26355263157894737,0.1304486041256293,60506624,66.87139330042555,230.814453125,1.0503408495018354,0,123,10,,,5,2e-05,8,128
student_distilbert-base-uncased_fs10_supp123_seed0_tau2.0_a0.1,student,distilbert-base-uncased,,0.7297368421052631,0.701680855428356,66956548,3.1136431333531314,255.42286682128906,0.7704918032786885,0,123,10,2.0,0.1,50,,,
ensemble_fs10_supp123_seed0,ensemble,ensemble,,0.6501315789473684,0.590266228622471,,,,,,123,10,,,,,,
