section_model,section_fs,caption,label,tau,alpha,accuracy_mean,accuracy_std,f1_macro_mean,f1_macro_std,latency_mean,latency_std,retain_mean,retain_std,n_runs,support_seed,rank_in_section,is_best_accuracy,is_best_latency,row_colour,Accuracy (± std),F1 Macro (± std),"Latency (± std, ms)",Retain (± std),Accuracy (LaTeX),F1 Macro (LaTeX),Latency (LaTeX),Retain (LaTeX)
distilBERT,10,distilBERT student results for FS=10.,tab:distilbert_fs10,0.1,0.1,0.8051315789473683,0.009688516078228472,0.8026700533572356,0.011203119364065938,3.978359026647619,0.6822692459047989,0.850097249235899,0.010229608529388229,10,123,1,True,False,green!15,0.8051 ± 0.0097,0.8027 ± 0.0112,3.98 ± 0.68,0.8501 ± 0.0102,0.8051 $\pm$ 0.0097,0.8027 $\pm$ 0.0112,3.98 $\pm$ 0.68,0.8501 $\pm$ 0.0102
distilBERT,10,distilBERT student results for FS=10.,tab:distilbert_fs10,0.1,0.5,0.8050263157894737,0.0141908570828571,0.8021756612611599,0.017289038040834433,3.732451986625165,0.4968141887501106,0.8499861072520144,0.014983400087484566,10,123,2,False,False,,0.8050 ± 0.0142,0.8022 ± 0.0173,3.73 ± 0.50,0.8500 ± 0.0150,0.8050 $\pm$ 0.0142,0.8022 $\pm$ 0.0173,3.73 $\pm$ 0.50,0.8500 $\pm$ 0.0150
distilBERT,10,distilBERT student results for FS=10.,tab:distilbert_fs10,0.1,0.3,0.804921052631579,0.013757003868300704,0.8022874375120136,0.016389157396953263,4.127729820029344,0.6188113944443213,0.8498749652681299,0.014525316671170515,10,123,3,False,False,,0.8049 ± 0.0138,0.8023 ± 0.0164,4.13 ± 0.62,0.8499 ± 0.0145,0.8049 $\pm$ 0.0138,0.8023 $\pm$ 0.0164,4.13 $\pm$ 0.62,0.8499 $\pm$ 0.0145
distilBERT,10,distilBERT student results for FS=10.,tab:distilbert_fs10,0.1,0.7,0.8045263157894735,0.01614669021197462,0.8014919370252255,0.01952222043970547,3.65409948674331,0.4804134904213554,0.8494581828285634,0.017048464241595868,10,123,4,False,False,,0.8045 ± 0.0161,0.8015 ± 0.0195,3.65 ± 0.48,0.8495 ± 0.0170,0.8045 $\pm$ 0.0161,0.8015 $\pm$ 0.0195,3.65 $\pm$ 0.48,0.8495 $\pm$ 0.0170
distilBERT,10,distilBERT student results for FS=10.,tab:distilbert_fs10,2.5,0.7,0.8043947368421053,0.015148439627419815,0.8013629544653262,0.01860116070889081,3.8601431333290748,0.7017284233799069,0.8493192553487079,0.01599446251297454,10,123,5,False,False,,0.8044 ± 0.0151,0.8014 ± 0.0186,3.86 ± 0.70,0.8493 ± 0.0160,0.8044 $\pm$ 0.0151,0.8014 $\pm$ 0.0186,3.86 $\pm$ 0.70,0.8493 $\pm$ 0.0160
distilBERT,10,distilBERT student results for FS=10.,tab:distilbert_fs10,3.0,0.7,0.8043684210526315,0.015186817557215807,0.8013318219804602,0.018690232977201474,3.587076453395639,0.3585057927386371,0.8492914698527368,0.016034983805896103,10,123,6,False,False,,0.8044 ± 0.0152,0.8013 ± 0.0187,3.59 ± 0.36,0.8493 ± 0.0160,0.8044 $\pm$ 0.0152,0.8013 $\pm$ 0.0187,3.59 $\pm$ 0.36,0.8493 $\pm$ 0.0160
distilBERT,10,distilBERT student results for FS=10.,tab:distilbert_fs10,2.0,0.7,0.8042894736842106,0.015111059058806298,0.8012196642872841,0.018609148782492566,4.0222985133482325,0.5876489888576385,0.8492081133648235,0.01595499428270739,10,123,7,False,False,,0.8043 ± 0.0151,0.8012 ± 0.0186,4.02 ± 0.59,0.8492 ± 0.0160,0.8043 $\pm$ 0.0151,0.8012 $\pm$ 0.0186,4.02 $\pm$ 0.59,0.8492 $\pm$ 0.0160
distilBERT,10,distilBERT student results for FS=10.,tab:distilbert_fs10,1.5,0.7,0.8040789473684212,0.01526114122591722,0.8009896962010339,0.018787555555936208,4.005728200068007,0.7816383408950638,0.8489858293970547,0.01611345836579199,10,123,8,False,False,,0.8041 ± 0.0153,0.8010 ± 0.0188,4.01 ± 0.78,0.8490 ± 0.0161,0.8041 $\pm$ 0.0153,0.8010 $\pm$ 0.0188,4.01 $\pm$ 0.78,0.8490 $\pm$ 0.0161
distilBERT,10,distilBERT student results for FS=10.,tab:distilbert_fs10,1.0,0.7,0.803934210526316,0.01515989595504551,0.8007881571112883,0.018712231796282557,3.818964499981424,0.5107700649422708,0.8488330091692136,0.016006558663287845,10,123,9,False,False,,0.8039 ± 0.0152,0.8008 ± 0.0187,3.82 ± 0.51,0.8488 ± 0.0160,0.8039 $\pm$ 0.0152,0.8008 $\pm$ 0.0187,3.82 $\pm$ 0.51,0.8488 $\pm$ 0.0160
distilBERT,10,distilBERT student results for FS=10.,tab:distilbert_fs10,0.5,0.7,0.803921052631579,0.01535649020187902,0.8006854052017447,0.019082719011338366,3.664723739999166,0.5949095221878129,0.8488191164212282,0.016214132472114562,10,123,10,False,False,,0.8039 ± 0.0154,0.8007 ± 0.0191,3.66 ± 0.59,0.8488 ± 0.0162,0.8039 $\pm$ 0.0154,0.8007 $\pm$ 0.0191,3.66 $\pm$ 0.59,0.8488 $\pm$ 0.0162
