section_model,section_fs,caption,label,tau,alpha,accuracy_mean,accuracy_std,f1_macro_mean,f1_macro_std,latency_mean,latency_std,retain_mean,retain_std,n_runs,support_seed,rank_in_section,is_best_accuracy,is_best_latency,row_color,Accuracy (± std),F1 Macro (± std),"Latency (± std, ms)",Retain (± std),Accuracy (LaTeX),F1 Macro (LaTeX),Latency (LaTeX),Retain (LaTeX)
distilBERT,1000,distilBERT student results for FS=1000.,tab:distilbert_fs1000,2.5,0.5,0.9084999999999999,0.0014798326209495688,0.9082666130780146,0.0015946086993941912,3.980720487476598,0.4455100072280629,0.9592386774103918,0.0015624795664374539,10,123,1,True,False,green!15,0.9085 ± 0.0015,0.9083 ± 0.0016,3.98 ± 0.45,0.9592 ± 0.0016,0.9085 $\pm$ 0.0015,0.9083 $\pm$ 0.0016,3.98 $\pm$ 0.45,0.9592 $\pm$ 0.0016
distilBERT,1000,distilBERT student results for FS=1000.,tab:distilbert_fs1000,2.0,0.5,0.9080657894736841,0.001396707754526445,0.9079833586458541,0.001484049753871963,3.7097653531236574,0.27498153622346905,0.9587802167268686,0.0014747122720756985,10,123,2,False,False,,0.9081 ± 0.0014,0.9080 ± 0.0015,3.71 ± 0.27,0.9588 ± 0.0015,0.9081 $\pm$ 0.0014,0.9080 $\pm$ 0.0015,3.71 $\pm$ 0.27,0.9588 $\pm$ 0.0015
distilBERT,1000,distilBERT student results for FS=1000.,tab:distilbert_fs1000,1.0,0.3,0.9080131578947368,0.0034526487394381696,0.9079694100336532,0.0036197894409807324,3.8059916732890997,0.6621506112589971,0.9587246457349263,0.003645475190293143,10,123,3,False,False,,0.9080 ± 0.0035,0.9080 ± 0.0036,3.81 ± 0.66,0.9587 ± 0.0036,0.9080 $\pm$ 0.0035,0.9080 $\pm$ 0.0036,3.81 $\pm$ 0.66,0.9587 $\pm$ 0.0036
distilBERT,1000,distilBERT student results for FS=1000.,tab:distilbert_fs1000,1.5,0.3,0.9074605263157893,0.0033448841879563256,0.9071673393120193,0.0035688155385033226,3.960049640396998,0.6248984060219667,0.9581411503195332,0.003531692112874137,10,123,4,False,False,,0.9075 ± 0.0033,0.9072 ± 0.0036,3.96 ± 0.62,0.9581 ± 0.0035,0.9075 $\pm$ 0.0033,0.9072 $\pm$ 0.0036,3.96 $\pm$ 0.62,0.9581 $\pm$ 0.0035
distilBERT,1000,distilBERT student results for FS=1000.,tab:distilbert_fs1000,1.0,0.1,0.9073947368421053,0.0032318341899695126,0.9072674624539676,0.003297950139072416,3.621743080172261,0.3562829904419035,0.9580716865796056,0.003412328402857493,10,123,5,False,True,blue!12,0.9074 ± 0.0032,0.9073 ± 0.0033,3.62 ± 0.36,0.9581 ± 0.0034,0.9074 $\pm$ 0.0032,0.9073 $\pm$ 0.0033,3.62 $\pm$ 0.36,0.9581 $\pm$ 0.0034
distilBERT,1000,distilBERT student results for FS=1000.,tab:distilbert_fs1000,2.5,0.7,0.9070131578947368,0.0032669109242164825,0.9068649260703212,0.003299310265080767,3.770340173189955,0.4353940769644378,0.9576687968880243,0.003449364132265241,10,123,6,False,False,,0.9070 ± 0.0033,0.9069 ± 0.0033,3.77 ± 0.44,0.9577 ± 0.0034,0.9070 $\pm$ 0.0033,0.9069 $\pm$ 0.0033,3.77 $\pm$ 0.44,0.9577 $\pm$ 0.0034
distilBERT,1000,distilBERT student results for FS=1000.,tab:distilbert_fs1000,2.5,0.3,0.9069078947368421,0.003061548028559851,0.9067154146089751,0.0031384431965465805,3.784579453325326,0.694220595865476,0.95755765490414,0.0032325319556897325,10,123,7,False,False,,0.9069 ± 0.0031,0.9067 ± 0.0031,3.78 ± 0.69,0.9576 ± 0.0032,0.9069 $\pm$ 0.0031,0.9067 $\pm$ 0.0031,3.78 $\pm$ 0.69,0.9576 $\pm$ 0.0032
distilBERT,1000,distilBERT student results for FS=1000.,tab:distilbert_fs1000,3.0,0.7,0.9067894736842105,0.00217907873152631,0.9065978758478466,0.0022612769337216334,4.028332019903852,0.8498788571128895,0.95743262017227,0.0023007777659905327,10,123,8,False,False,,0.9068 ± 0.0022,0.9066 ± 0.0023,4.03 ± 0.85,0.9574 ± 0.0023,0.9068 $\pm$ 0.0022,0.9066 $\pm$ 0.0023,4.03 $\pm$ 0.85,0.9574 $\pm$ 0.0023
distilBERT,1000,distilBERT student results for FS=1000.,tab:distilbert_fs1000,1.5,0.5,0.9066842105263155,0.0033921405367031603,0.906497472454733,0.003326697733804792,3.952320406679064,0.42669542772896435,0.9573214781883855,0.003581587674207261,10,123,9,False,False,,0.9067 ± 0.0034,0.9065 ± 0.0033,3.95 ± 0.43,0.9573 ± 0.0036,0.9067 $\pm$ 0.0034,0.9065 $\pm$ 0.0033,3.95 $\pm$ 0.43,0.9573 $\pm$ 0.0036
distilBERT,1000,distilBERT student results for FS=1000.,tab:distilbert_fs1000,3.0,0.3,0.9066447368421052,0.00356438925055262,0.9065103209749357,0.0036581473201010672,4.003745427059281,0.633805329833676,0.9572797999444289,0.00376345628010557,10,123,10,False,False,,0.9066 ± 0.0036,0.9065 ± 0.0037,4.00 ± 0.63,0.9573 ± 0.0038,0.9066 $\pm$ 0.0036,0.9065 $\pm$ 0.0037,4.00 $\pm$ 0.63,0.9573 $\pm$ 0.0038
distilBERT,1000,distilBERT student results for FS=1000.,tab:distilbert_fs1000,3.0,0.5,0.9064736842105263,0.003183255861916444,0.9062345449412585,0.0031809964114323376,4.12280070692456,0.678101784876635,0.9570991942206168,0.003361037031198251,10,123,11,False,False,,0.9065 ± 0.0032,0.9062 ± 0.0032,4.12 ± 0.68,0.9571 ± 0.0034,0.9065 $\pm$ 0.0032,0.9062 $\pm$ 0.0032,4.12 $\pm$ 0.68,0.9571 $\pm$ 0.0034
distilBERT,1000,distilBERT student results for FS=1000.,tab:distilbert_fs1000,1.5,0.1,0.9063157894736842,0.003724198195676107,0.9060148726684314,0.003904561352898771,3.877693800095585,0.6177536636523616,0.9569324812447902,0.003932190370538824,10,123,12,False,False,,0.9063 ± 0.0037,0.9060 ± 0.0039,3.88 ± 0.62,0.9569 ± 0.0039,0.9063 $\pm$ 0.0037,0.9060 $\pm$ 0.0039,3.88 $\pm$ 0.62,0.9569 $\pm$ 0.0039
distilBERT,1000,distilBERT student results for FS=1000.,tab:distilbert_fs1000,1.0,0.5,0.9061315789473685,0.004585462864638574,0.9060058691280879,0.004717266507059252,4.111680933686634,0.6129704605831533,0.9567379827729926,0.004841555678140193,10,123,13,False,False,,0.9061 ± 0.0046,0.9060 ± 0.0047,4.11 ± 0.61,0.9567 ± 0.0048,0.9061 $\pm$ 0.0046,0.9060 $\pm$ 0.0047,4.11 $\pm$ 0.61,0.9567 $\pm$ 0.0048
distilBERT,1000,distilBERT student results for FS=1000.,tab:distilbert_fs1000,2.0,0.7,0.9059868421052633,0.003147063540163006,0.9058071849896558,0.003287256248968098,3.8674541865718006,0.37889862046822775,0.9565851625451514,0.003322823410008172,10,123,14,False,False,,0.9060 ± 0.0031,0.9058 ± 0.0033,3.87 ± 0.38,0.9566 ± 0.0033,0.9060 $\pm$ 0.0031,0.9058 $\pm$ 0.0033,3.87 $\pm$ 0.38,0.9566 $\pm$ 0.0033
distilBERT,1000,distilBERT student results for FS=1000.,tab:distilbert_fs1000,2.0,0.3,0.9058684210526315,0.00167725170564452,0.905623343013346,0.0016587717294666456,3.9975178136955947,0.544799392636488,0.9564601278132814,0.0017709242793690334,10,123,15,False,False,,0.9059 ± 0.0017,0.9056 ± 0.0017,4.00 ± 0.54,0.9565 ± 0.0018,0.9059 $\pm$ 0.0017,0.9056 $\pm$ 0.0017,4.00 $\pm$ 0.54,0.9565 $\pm$ 0.0018
distilBERT,1000,distilBERT student results for FS=1000.,tab:distilbert_fs1000,1.5,0.7,0.9055789473684209,0.0027954806776553398,0.9053514728441723,0.002848432486785465,4.103554520042963,0.6613026553650344,0.9561544873575993,0.0029516050500389807,10,123,16,False,False,,0.9056 ± 0.0028,0.9054 ± 0.0028,4.10 ± 0.66,0.9562 ± 0.0030,0.9056 $\pm$ 0.0028,0.9054 $\pm$ 0.0028,4.10 $\pm$ 0.66,0.9562 $\pm$ 0.0030
distilBERT,1000,distilBERT student results for FS=1000.,tab:distilbert_fs1000,2.0,0.1,0.9054210526315789,0.0027703193189527464,0.9052167536919473,0.002952730346951637,4.077862393072186,0.3121015689410075,0.9559877743817726,0.00292503845846637,10,123,17,False,False,,0.9054 ± 0.0028,0.9052 ± 0.0030,4.08 ± 0.31,0.9560 ± 0.0029,0.9054 $\pm$ 0.0028,0.9052 $\pm$ 0.0030,4.08 $\pm$ 0.31,0.9560 $\pm$ 0.0029
distilBERT,1000,distilBERT student results for FS=1000.,tab:distilbert_fs1000,0.5,0.1,0.9046710526315789,0.004061341934283746,0.9046122069065914,0.004185198175824555,4.055690699266657,0.4951438535048498,0.9551958877465963,0.00428816319818789,10,123,18,False,False,,0.9047 ± 0.0041,0.9046 ± 0.0042,4.06 ± 0.50,0.9552 ± 0.0043,0.9047 $\pm$ 0.0041,0.9046 $\pm$ 0.0042,4.06 $\pm$ 0.50,0.9552 $\pm$ 0.0043
distilBERT,1000,distilBERT student results for FS=1000.,tab:distilbert_fs1000,0.5,0.3,0.9045789473684211,0.0026233790375464893,0.9044343056976271,0.0027534553321944535,3.8007927266153274,0.9446555280941481,0.9550986385106972,0.0027698917317801183,10,123,19,False,False,,0.9046 ± 0.0026,0.9044 ± 0.0028,3.80 ± 0.94,0.9551 ± 0.0028,0.9046 $\pm$ 0.0026,0.9044 $\pm$ 0.0028,3.80 $\pm$ 0.94,0.9551 $\pm$ 0.0028
distilBERT,1000,distilBERT student results for FS=1000.,tab:distilbert_fs1000,3.0,0.1,0.9043684210526315,0.003671553027163184,0.9041635079584835,0.003722283065951859,3.9386547997613284,0.7991647451719478,0.9548763545429285,0.0038766050300694933,10,123,20,False,False,,0.9044 ± 0.0037,0.9042 ± 0.0037,3.94 ± 0.80,0.9549 ± 0.0039,0.9044 $\pm$ 0.0037,0.9042 $\pm$ 0.0037,3.94 $\pm$ 0.80,0.9549 $\pm$ 0.0039
distilBERT,1000,distilBERT student results for FS=1000.,tab:distilbert_fs1000,2.5,0.9,0.9038552631578947,0.002744682034518094,0.9036533663545006,0.0027078010115414194,3.9548107879575882,0.3499603023453215,0.9543345373714921,0.0028979693612583325,10,123,21,False,False,,0.9039 ± 0.0027,0.9037 ± 0.0027,3.95 ± 0.35,0.9543 ± 0.0029,0.9039 $\pm$ 0.0027,0.9037 $\pm$ 0.0027,3.95 $\pm$ 0.35,0.9543 $\pm$ 0.0029
distilBERT,1000,distilBERT student results for FS=1000.,tab:distilbert_fs1000,2.5,0.1,0.9037499999999999,0.0031008802947948455,0.9035038249224978,0.003130714984464761,4.162457759593963,0.5233698609483283,0.9542233953876076,0.003274060883640024,10,123,22,False,False,,0.9037 ± 0.0031,0.9035 ± 0.0031,4.16 ± 0.52,0.9542 ± 0.0033,0.9037 $\pm$ 0.0031,0.9035 $\pm$ 0.0031,4.16 $\pm$ 0.52,0.9542 $\pm$ 0.0033
distilBERT,1000,distilBERT student results for FS=1000.,tab:distilbert_fs1000,3.0,0.9,0.9037105263157894,0.004609980875103621,0.9034959521719047,0.004679042301977651,4.178825147998093,0.6083198315341095,0.9541817171436511,0.004867442991218042,10,123,23,False,False,,0.9037 ± 0.0046,0.9035 ± 0.0047,4.18 ± 0.61,0.9542 ± 0.0049,0.9037 $\pm$ 0.0046,0.9035 $\pm$ 0.0047,4.18 $\pm$ 0.61,0.9542 $\pm$ 0.0049
distilBERT,1000,distilBERT student results for FS=1000.,tab:distilbert_fs1000,2.0,0.9,0.9036973684210526,0.0038378822020562987,0.9035393219272766,0.0038282333596928037,3.9106427006724216,0.39223669416775286,0.9541678243956655,0.004052223497586513,10,123,24,False,False,,0.9037 ± 0.0038,0.9035 ± 0.0038,3.91 ± 0.39,0.9542 ± 0.0041,0.9037 $\pm$ 0.0038,0.9035 $\pm$ 0.0038,3.91 $\pm$ 0.39,0.9542 $\pm$ 0.0041
