section_model,section_fs,caption,label,tau,alpha,accuracy_mean,accuracy_std,f1_macro_mean,f1_macro_std,latency_mean,latency_std,retain_mean,retain_std,n_runs,support_seed,rank_in_section,is_best_accuracy,is_best_latency,row_colour,Accuracy (± std),F1 Macro (± std),"Latency (± std, ms)",Retain (± std),Accuracy (LaTeX),F1 Macro (LaTeX),Latency (LaTeX),Retain (LaTeX)
T5-small,1000,T5-small student results for FS=1000.,tab:t5small_fs1000,1.5,0.3,0.8902368421052633,0.0016172260600393845,0.8900133986477181,0.001618991137194856,15.141221439165141,2.2865920679710463,0.9655772798629941,0.0017540913452689243,10,123,1,True,False,green!15,0.8902 ± 0.0016,0.8900 ± 0.0016,15.14 ± 2.29,0.9656 ± 0.0018,0.8902 $\pm$ 0.0016,0.8900 $\pm$ 0.0016,15.14 $\pm$ 2.29,0.9656 $\pm$ 0.0018
T5-small,1000,T5-small student results for FS=1000.,tab:t5small_fs1000,2.5,0.3,0.8900394736842105,0.0009428294449503157,0.8897979818230521,0.0009024072040252149,14.291674213115282,1.2171263039118758,0.9653632082203512,0.0010226207765980364,10,123,2,False,False,,0.8900 ± 0.0009,0.8898 ± 0.0009,14.29 ± 1.22,0.9654 ± 0.0010,0.8900 $\pm$ 0.0009,0.8898 $\pm$ 0.0009,14.29 $\pm$ 1.22,0.9654 $\pm$ 0.0010
T5-small,1000,T5-small student results for FS=1000.,tab:t5small_fs1000,0.5,0.1,0.8900131578947368,0.002019878511899068,0.8898352016423857,0.0020397838627182244,14.091723100476278,1.2054292955545383,0.9653346653346654,0.0021908201356405105,10,123,3,False,False,,0.8900 ± 0.0020,0.8898 ± 0.0020,14.09 ± 1.21,0.9653 ± 0.0022,0.8900 $\pm$ 0.0020,0.8898 $\pm$ 0.0020,14.09 $\pm$ 1.21,0.9653 $\pm$ 0.0022
T5-small,1000,T5-small student results for FS=1000.,tab:t5small_fs1000,3.0,0.5,0.889986842105263,0.0015928360895737868,0.8897320280466685,0.0016207676584249603,14.567575601055674,1.7342073487117973,0.9653061224489796,0.001727637259991549,10,123,4,False,False,,0.8900 ± 0.0016,0.8897 ± 0.0016,14.57 ± 1.73,0.9653 ± 0.0017,0.8900 $\pm$ 0.0016,0.8897 $\pm$ 0.0016,14.57 $\pm$ 1.73,0.9653 $\pm$ 0.0017
T5-small,1000,T5-small student results for FS=1000.,tab:t5small_fs1000,2.0,0.5,0.889921052631579,0.0011739320012208088,0.8896919374741931,0.0012111713473285663,13.514322167223629,1.2728224499179988,0.9652347652347653,0.0012732814627198846,10,123,5,False,False,,0.8899 ± 0.0012,0.8897 ± 0.0012,13.51 ± 1.27,0.9652 ± 0.0013,0.8899 $\pm$ 0.0012,0.8897 $\pm$ 0.0012,13.51 $\pm$ 1.27,0.9652 $\pm$ 0.0013
T5-small,1000,T5-small student results for FS=1000.,tab:t5small_fs1000,1.0,0.7,0.8898684210526315,0.0016019282778727668,0.8896650910190654,0.001589213487599434,13.546056059470478,1.3272348082555259,0.965177679463394,0.0017374989170590744,10,123,6,False,False,,0.8899 ± 0.0016,0.8897 ± 0.0016,13.55 ± 1.33,0.9652 ± 0.0017,0.8899 $\pm$ 0.0016,0.8897 $\pm$ 0.0016,13.55 $\pm$ 1.33,0.9652 $\pm$ 0.0017
T5-small,1000,T5-small student results for FS=1000.,tab:t5small_fs1000,1.5,0.5,0.889842105263158,0.001537967224136362,0.8896158452296742,0.001567756790247641,13.719715045638925,1.093165037224515,0.965149136577708,0.0016681248613438454,10,123,7,False,False,,0.8898 ± 0.0015,0.8896 ± 0.0016,13.72 ± 1.09,0.9651 ± 0.0017,0.8898 $\pm$ 0.0015,0.8896 $\pm$ 0.0016,13.72 $\pm$ 1.09,0.9651 $\pm$ 0.0017
T5-small,1000,T5-small student results for FS=1000.,tab:t5small_fs1000,2.0,0.3,0.8897105263157894,0.0013544041449557065,0.8894793079486641,0.001354387614119871,14.15648931404576,2.3968670500038614,0.9650064221492795,0.0014690269019071575,10,123,8,False,False,,0.8897 ± 0.0014,0.8895 ± 0.0014,14.16 ± 2.40,0.9650 ± 0.0015,0.8897 $\pm$ 0.0014,0.8895 $\pm$ 0.0014,14.16 $\pm$ 2.40,0.9650 $\pm$ 0.0015
T5-small,1000,T5-small student results for FS=1000.,tab:t5small_fs1000,2.5,0.5,0.889684210526316,0.0013733043771432078,0.8894278895539305,0.0013881659321860892,13.598313627686972,1.8976769831463067,0.9649778792635937,0.0014895266542441033,10,123,9,False,False,,0.8897 ± 0.0014,0.8894 ± 0.0014,13.60 ± 1.90,0.9650 ± 0.0015,0.8897 $\pm$ 0.0014,0.8894 $\pm$ 0.0014,13.60 $\pm$ 1.90,0.9650 $\pm$ 0.0015
T5-small,1000,T5-small student results for FS=1000.,tab:t5small_fs1000,0.1,0.7,0.8896315789473684,0.001441108205285542,0.8894255032463629,0.0014576745317696508,13.10193895391421,0.9624044871299242,0.964920793492222,0.0015630686970415483,10,123,10,False,True,blue!12,0.8896 ± 0.0014,0.8894 ± 0.0015,13.10 ± 0.96,0.9649 ± 0.0016,0.8896 $\pm$ 0.0014,0.8894 $\pm$ 0.0015,13.10 $\pm$ 0.96,0.9649 $\pm$ 0.0016
