run_name,type,model,ensemble_models,accuracy,f1_macro,params,latency_ms,size_mb,retain_ratio_vs_full,train_seed,support_seed,n_per_class,tau,alpha,epochs,lr,batch_size,max_len
full_bert-base-uncased_seed0_ep0_lr2e-05_bs16_ml128,zero-shot,bert-base-uncased,,0.32973684210526316,0.2527355756334019,109485316,6.9425596667618565,417.66114807128906,,0,,,,,0,2e-05,16,128
full_distilbert-base-uncased_seed0_ep0_lr2e-05_bs16_ml128,zero-shot,distilbert-base-uncased,,0.2669736842105263,0.15209869834034523,66956548,4.622097333337176,255.42286682128906,,0,,,,,0,2e-05,16,128
full_t5-small_seed0_ep0_lr2e-05_bs16_ml128,zero-shot,t5-small,,0.24460526315789474,0.10539019912798202,35332868,4.679575000015272,134.78419494628906,,0,,,,,0,2e-05,16,128
full_bert-base-uncased_seed0_ep2_lr2e-05_bs16_ml128,full,bert-base-uncased,,0.9464473684210526,0.9464722177742799,109485316,6.241066866580998,417.66114807128906,,0,,,,,2,2e-05,16,128
full_distilbert-base-uncased_seed0_ep2_lr2e-05_bs16_ml128,full,distilbert-base-uncased,,0.9471052631578948,0.9471282215139885,66956548,3.039561833247717,255.42286682128906,,0,,,,,2,2e-05,16,128
full_t5-small_seed0_ep2_lr2e-05_bs16_ml128,full,t5-small,,0.9219736842105263,0.9219394017486409,35332868,5.160442266605969,134.78419494628906,,0,,,,,2,2e-05,16,128
teacher_bert-base-uncased_fs1000_supp123_seed6,teacher,bert-base-uncased,,0.9125,0.9123948702815217,109485316,8.556477799993445,417.66114807128906,0.9641317948005005,6,123,1000,,,5,2e-05,8,128
teacher_bert-base-uncased_fs1000_supp123_seed3,teacher,bert-base-uncased,,0.9072368421052631,0.9071609288177854,109485316,8.077167599988874,417.66114807128906,0.9585708327540664,3,123,1000,,,5,2e-05,8,128
teacher_bert-base-uncased_fs1000_supp123_seed5,teacher,bert-base-uncased,,0.9067105263157895,0.9065518777953285,109485316,8.01509596667529,417.66114807128906,0.9580147365494232,5,123,1000,,,5,2e-05,8,128
teacher_bert-base-uncased_fs1000_supp123_seed9,teacher,bert-base-uncased,,0.9051315789473684,0.9052269457530027,109485316,6.675370166582677,417.66114807128906,0.9563464479354928,9,123,1000,,,5,2e-05,8,128
teacher_bert-base-uncased_fs1000_supp123_seed8,teacher,bert-base-uncased,,0.9021052631578947,0.9018228228108573,109485316,8.310370666655823,417.66114807128906,0.9531488947587933,8,123,1000,,,5,2e-05,8,128
teacher_bert-base-uncased_fs1000_supp123_seed7,teacher,bert-base-uncased,,0.8992105263157895,0.8990173596672324,109485316,8.957282033338743,417.66114807128906,0.9500903656332546,7,123,1000,,,5,2e-05,8,128
teacher_bert-base-uncased_fs1000_supp123_seed4,teacher,bert-base-uncased,,0.8921052631578947,0.8914045226623778,109485316,8.01799916668339,417.66114807128906,0.9425830668705687,4,123,1000,,,5,2e-05,8,128
teacher_bert-base-uncased_fs100_supp123_seed7,teacher,bert-base-uncased,,0.8793421052631579,0.8791566501151431,109485316,7.64580016666514,417.66114807128906,0.9290977339079661,7,123,100,,,5,2e-05,8,128
teacher_bert-base-uncased_fs100_supp123_seed5,teacher,bert-base-uncased,,0.8775,0.877266902266248,109485316,8.424415200007237,417.66114807128906,0.9271513971917141,5,123,100,,,5,2e-05,8,128
teacher_bert-base-uncased_fs100_supp123_seed8,teacher,bert-base-uncased,,0.8768421052631579,0.8765633264538675,109485316,7.63080503332579,417.66114807128906,0.9264562769359099,8,123,100,,,5,2e-05,8,128
teacher_bert-base-uncased_fs100_supp123_seed3,teacher,bert-base-uncased,,0.8756578947368421,0.8753002931070208,109485316,7.626365633329139,417.66114807128906,0.9252050604754622,3,123,100,,,5,2e-05,8,128
teacher_bert-base-uncased_fs100_supp123_seed4,teacher,bert-base-uncased,,0.8740789473684211,0.8738807636647297,109485316,7.054958366654773,417.66114807128906,0.923536771861532,4,123,100,,,5,2e-05,8,128
teacher_bert-base-uncased_fs100_supp123_seed6,teacher,bert-base-uncased,,0.8676315789473684,0.8670795545736247,109485316,7.34467183333436,417.66114807128906,0.9167245933546504,6,123,100,,,5,2e-05,8,128
teacher_bert-base-uncased_fs100_supp123_seed9,teacher,bert-base-uncased,,0.833421052631579,0.8290077409647845,109485316,6.810926299995875,417.66114807128906,0.8805783400528292,9,123,100,,,5,2e-05,8,128
teacher_bert-base-uncased_fs10_supp123_seed6,teacher,bert-base-uncased,,0.7453947368421052,0.7455212402898717,109485316,6.902050500004482,417.66114807128906,0.78757124982622,6,123,10,,,5,2e-05,8,128
teacher_bert-base-uncased_fs10_supp123_seed8,teacher,bert-base-uncased,,0.745,0.7439567892441407,109485316,6.261128766664115,417.66114807128906,0.7871541776727374,8,123,10,,,5,2e-05,8,128
