section_model,section_fs,caption,label,tau,alpha,accuracy_mean,accuracy_std,f1_macro_mean,f1_macro_std,latency_mean,latency_std,retain_mean,retain_std,n_runs,support_seed,rank_in_section,is_best_accuracy,is_best_latency,row_color,Accuracy (± std),F1 Macro (± std),"Latency (± std, ms)",Retain (± std),Accuracy (LaTeX),F1 Macro (LaTeX),Latency (LaTeX),Retain (LaTeX)
BERT,100,BERT student results for FS=100.,tab:bert_fs100,3.0,0.3,0.875907894736842,0.005357505960228245,0.8758451383951229,0.005415299331649428,6.249221933382311,0.764392987330325,0.9254692061726681,0.00566064858859094,10,123,1,True,True,green!15,0.8759 ± 0.0054,0.8758 ± 0.0054,6.25 ± 0.76,0.9255 ± 0.0057,0.8759 $\pm$ 0.0054,0.8758 $\pm$ 0.0054,6.25 $\pm$ 0.76,0.9255 $\pm$ 0.0057
BERT,100,BERT student results for FS=100.,tab:bert_fs100,2.5,0.5,0.8754868421052633,0.0030260297347644762,0.8753995630399846,0.0029977577504948874,6.996807893289467,0.7250794855859162,0.9250243292089531,0.003197250936217169,10,123,2,False,False,,0.8755 ± 0.0030,0.8754 ± 0.0030,7.00 ± 0.73,0.9250 ± 0.0032,0.8755 $\pm$ 0.0030,0.8754 $\pm$ 0.0030,7.00 $\pm$ 0.73,0.9250 $\pm$ 0.0032
BERT,100,BERT student results for FS=100.,tab:bert_fs100,3.0,0.1,0.8750526315789475,0.005178857033396522,0.8750123867083509,0.00516425735362029,7.005085326539605,1.1389023155111375,0.9245655498401224,0.005471891207258937,10,123,3,False,False,,0.8751 ± 0.0052,0.8750 ± 0.0052,7.01 ± 1.14,0.9246 ± 0.0055,0.8751 $\pm$ 0.0052,0.8750 $\pm$ 0.0052,7.01 $\pm$ 1.14,0.9246 $\pm$ 0.0055
BERT,100,BERT student results for FS=100.,tab:bert_fs100,2.0,0.1,0.874986842105263,0.004606077622214507,0.8749470456823654,0.004672351115929329,6.7106641797605935,0.8556874667677403,0.9244960378145419,0.004866702339612165,10,123,4,False,False,,0.8750 ± 0.0046,0.8749 ± 0.0047,6.71 ± 0.86,0.9245 ± 0.0049,0.8750 $\pm$ 0.0046,0.8749 $\pm$ 0.0047,6.71 $\pm$ 0.86,0.9245 $\pm$ 0.0049
BERT,100,BERT student results for FS=100.,tab:bert_fs100,1.5,0.3,0.8749210526315789,0.003512717080345325,0.8748920758415547,0.0033884422220077986,6.440138753472032,0.4704542442308488,0.9244265257889616,0.0037114764090955656,10,123,5,False,False,,0.8749 ± 0.0035,0.8749 ± 0.0034,6.44 ± 0.47,0.9244 ± 0.0037,0.8749 $\pm$ 0.0035,0.8749 $\pm$ 0.0034,6.44 $\pm$ 0.47,0.9244 $\pm$ 0.0037
BERT,100,BERT student results for FS=100.,tab:bert_fs100,2.5,0.1,0.8748026315789474,0.0036539326010984843,0.8747470685013059,0.003602653991753509,6.751503740003197,0.8294124570711798,0.9243014041429166,0.0038606822978379633,10,123,6,False,False,,0.8748 ± 0.0037,0.8747 ± 0.0036,6.75 ± 0.83,0.9243 ± 0.0039,0.8748 $\pm$ 0.0037,0.8747 $\pm$ 0.0036,6.75 $\pm$ 0.83,0.9243 $\pm$ 0.0039
BERT,100,BERT student results for FS=100.,tab:bert_fs100,2.0,0.3,0.8747763157894737,0.006453198819786567,0.8748283057579977,0.006557844304303609,6.370791460067267,0.7484618756726138,0.9242735993326846,0.006818338805835945,10,123,7,False,False,,0.8748 ± 0.0065,0.8748 ± 0.0066,6.37 ± 0.75,0.9243 ± 0.0068,0.8748 $\pm$ 0.0065,0.8748 $\pm$ 0.0066,6.37 $\pm$ 0.75,0.9243 $\pm$ 0.0068
BERT,100,BERT student results for FS=100.,tab:bert_fs100,1.0,0.3,0.8745263157894737,0.004026115119411674,0.8744411167679603,0.00416750072242293,6.8761738933608285,0.7477456143535198,0.924009453635479,0.004253923940988283,10,123,8,False,False,,0.8745 ± 0.0040,0.8744 ± 0.0042,6.88 ± 0.75,0.9240 ± 0.0043,0.8745 $\pm$ 0.0040,0.8744 $\pm$ 0.0042,6.88 $\pm$ 0.75,0.9240 $\pm$ 0.0043
BERT,100,BERT student results for FS=100.,tab:bert_fs100,3.0,0.5,0.8742368421052632,0.003947270953962377,0.8740927332950221,0.003848005087919735,6.422716300015358,0.40257350421365284,0.923703600722925,0.004170618552775488,10,123,9,False,False,,0.8742 ± 0.0039,0.8741 ± 0.0038,6.42 ± 0.40,0.9237 ± 0.0042,0.8742 $\pm$ 0.0039,0.8741 $\pm$ 0.0038,6.42 $\pm$ 0.40,0.9237 $\pm$ 0.0042
BERT,100,BERT student results for FS=100.,tab:bert_fs100,2.0,0.5,0.8739342105263159,0.0038081947003746827,0.8738416479147594,0.004003591382255694,6.8831435997951,1.001907489540835,0.9233838454052551,0.004023672976900794,10,123,10,False,False,,0.8739 ± 0.0038,0.8738 ± 0.0040,6.88 ± 1.00,0.9234 ± 0.0040,0.8739 $\pm$ 0.0038,0.8738 $\pm$ 0.0040,6.88 $\pm$ 1.00,0.9234 $\pm$ 0.0040
