section_model,section_fs,caption,label,tau,alpha,accuracy_mean,accuracy_std,f1_macro_mean,f1_macro_std,latency_mean,latency_std,retain_mean,retain_std,n_runs,support_seed,rank_in_section,is_best_accuracy,is_best_latency,row_color,Accuracy (± std),F1 Macro (± std),"Latency (± std, ms)",Retain (± std),Accuracy (LaTeX),F1 Macro (LaTeX),Latency (LaTeX),Retain (LaTeX)
T5-small,100,T5-small student results for FS=100.,tab:t5small_fs100,0.5,0.1,0.7167763157894738,0.03243498895902278,0.7139647302147769,0.03331892963814769,14.805252960201566,1.3193886578581082,0.7774368488654202,0.03517995091887728,10,123,1,True,False,green!15,0.7168 ± 0.0324,0.7140 ± 0.0333,14.81 ± 1.32,0.7774 ± 0.0352,0.7168 $\pm$ 0.0324,0.7140 $\pm$ 0.0333,14.81 $\pm$ 1.32,0.7774 $\pm$ 0.0352
T5-small,100,T5-small student results for FS=100.,tab:t5small_fs100,0.1,0.3,0.7148552631578948,0.03604000771431679,0.713968204641319,0.03543723812372923,13.838097233201552,1.348086884776106,0.7753532182103611,0.039090061171515283,10,123,2,False,False,,0.7149 ± 0.0360,0.7140 ± 0.0354,13.84 ± 1.35,0.7754 ± 0.0391,0.7149 $\pm$ 0.0360,0.7140 $\pm$ 0.0354,13.84 $\pm$ 1.35,0.7754 $\pm$ 0.0391
T5-small,100,T5-small student results for FS=100.,tab:t5small_fs100,0.5,0.3,0.7139605263157894,0.03536428558129351,0.7113106956393016,0.03569987587514784,13.177464253506816,1.9231851471975092,0.7743827600970458,0.038357152906783314,10,123,3,False,False,,0.7140 ± 0.0354,0.7113 ± 0.0357,13.18 ± 1.92,0.7744 ± 0.0384,0.7140 $\pm$ 0.0354,0.7113 $\pm$ 0.0357,13.18 $\pm$ 1.92,0.7744 $\pm$ 0.0384
T5-small,100,T5-small student results for FS=100.,tab:t5small_fs100,0.1,0.5,0.7137236842105263,0.035648050582196854,0.7120681799987962,0.035581167217625165,13.40055151983203,1.4425555026051917,0.7741258741258742,0.03866493284211448,10,123,4,False,False,,0.7137 ± 0.0356,0.7121 ± 0.0356,13.40 ± 1.44,0.7741 ± 0.0387,0.7137 $\pm$ 0.0356,0.7121 $\pm$ 0.0356,13.40 $\pm$ 1.44,0.7741 $\pm$ 0.0387
T5-small,100,T5-small student results for FS=100.,tab:t5small_fs100,0.5,0.5,0.7121315789473684,0.03620713255890182,0.7094180826307367,0.03659898667484631,13.872838100190467,1.626974637663781,0.7723990295418868,0.03927132973421631,10,123,5,False,False,,0.7121 ± 0.0362,0.7094 ± 0.0366,13.87 ± 1.63,0.7724 ± 0.0393,0.7121 $\pm$ 0.0362,0.7094 $\pm$ 0.0366,13.87 $\pm$ 1.63,0.7724 $\pm$ 0.0393
T5-small,100,T5-small student results for FS=100.,tab:t5small_fs100,0.1,0.1,0.7120131578947368,0.03378616981625129,0.712058815455409,0.032716030671373984,13.879718666770106,1.602930971352347,0.7722705865563009,0.036645481747325494,10,123,6,False,False,,0.7120 ± 0.0338,0.7121 ± 0.0327,13.88 ± 1.60,0.7723 ± 0.0366,0.7120 $\pm$ 0.0338,0.7121 $\pm$ 0.0327,13.88 $\pm$ 1.60,0.7723 $\pm$ 0.0366
T5-small,100,T5-small student results for FS=100.,tab:t5small_fs100,1.5,0.5,0.7117236842105263,0.03742980760137598,0.7077081894083743,0.03934179421457718,13.065884633227446,1.1969204081379878,0.7719566148137578,0.04059747934500605,10,123,7,False,False,,0.7117 ± 0.0374,0.7077 ± 0.0393,13.07 ± 1.20,0.7720 ± 0.0406,0.7117 $\pm$ 0.0374,0.7077 $\pm$ 0.0393,13.07 $\pm$ 1.20,0.7720 $\pm$ 0.0406
T5-small,100,T5-small student results for FS=100.,tab:t5small_fs100,1.0,0.1,0.7113947368421053,0.03793680656968172,0.7063065800940327,0.04131645812778637,13.73830337334463,1.7692408198777383,0.771599828742686,0.041147385461621395,10,123,8,False,False,,0.7114 ± 0.0379,0.7063 ± 0.0413,13.74 ± 1.77,0.7716 ± 0.0411,0.7114 $\pm$ 0.0379,0.7063 $\pm$ 0.0413,13.74 $\pm$ 1.77,0.7716 $\pm$ 0.0411
T5-small,100,T5-small student results for FS=100.,tab:t5small_fs100,1.0,0.3,0.7113947368421052,0.03691826922604806,0.7069860207007581,0.03879721662570916,13.006422726878858,0.8706537400337814,0.7715998287426858,0.04004264965291357,10,123,9,False,False,,0.7114 ± 0.0369,0.7070 ± 0.0388,13.01 ± 0.87,0.7716 ± 0.0400,0.7114 $\pm$ 0.0369,0.7070 $\pm$ 0.0388,13.01 $\pm$ 0.87,0.7716 $\pm$ 0.0400
T5-small,100,T5-small student results for FS=100.,tab:t5small_fs100,1.0,0.5,0.711328947368421,0.03648439808298875,0.7075502327212371,0.03798273673310648,13.210767660032918,1.3419768568968273,0.7715284715284716,0.03957206014424353,10,123,10,False,False,,0.7113 ± 0.0365,0.7076 ± 0.0380,13.21 ± 1.34,0.7715 ± 0.0396,0.7113 $\pm$ 0.0365,0.7076 $\pm$ 0.0380,13.21 $\pm$ 1.34,0.7715 $\pm$ 0.0396
T5-small,100,T5-small student results for FS=100.,tab:t5small_fs100,0.1,0.7,0.7112894736842106,0.037600680481455546,0.7090631832047553,0.0377700808799829,13.775856526857144,1.6799373662933639,0.7714856571999429,0.040782813138156425,10,123,11,False,False,,0.7113 ± 0.0376,0.7091 ± 0.0378,13.78 ± 1.68,0.7715 ± 0.0408,0.7113 $\pm$ 0.0376,0.7091 $\pm$ 0.0378,13.78 $\pm$ 1.68,0.7715 $\pm$ 0.0408
T5-small,100,T5-small student results for FS=100.,tab:t5small_fs100,2.0,0.7,0.7110526315789474,0.036708246800887,0.7076015495309353,0.037909424871161626,13.124458086725403,1.0047194347359472,0.7712287712287711,0.0398148531021466,10,123,12,False,False,,0.7111 ± 0.0367,0.7076 ± 0.0379,13.12 ± 1.00,0.7712 ± 0.0398,0.7111 $\pm$ 0.0367,0.7076 $\pm$ 0.0379,13.12 $\pm$ 1.00,0.7712 $\pm$ 0.0398
T5-small,100,T5-small student results for FS=100.,tab:t5small_fs100,3.0,0.3,0.7106578947368422,0.037512899187040316,0.7060680164038311,0.04039921080775524,12.415462613498676,0.9972302505074563,0.7708006279434851,0.04068760294298653,10,123,13,False,True,blue!12,0.7107 ± 0.0375,0.7061 ± 0.0404,12.42 ± 1.00,0.7708 ± 0.0407,0.7107 $\pm$ 0.0375,0.7061 $\pm$ 0.0404,12.42 $\pm$ 1.00,0.7708 $\pm$ 0.0407
T5-small,100,T5-small student results for FS=100.,tab:t5small_fs100,1.5,0.9,0.7105394736842106,0.03799220176013688,0.7071839533573476,0.03910785201481138,13.534826439693763,1.481793147565872,0.7706721849578992,0.04120746872799205,10,123,14,False,False,,0.7105 ± 0.0380,0.7072 ± 0.0391,13.53 ± 1.48,0.7707 ± 0.0412,0.7105 $\pm$ 0.0380,0.7072 $\pm$ 0.0391,13.53 $\pm$ 1.48,0.7707 $\pm$ 0.0412
T5-small,100,T5-small student results for FS=100.,tab:t5small_fs100,2.5,0.9,0.7103026315789475,0.03889616764534283,0.7071057019184414,0.03972160686721555,13.145099240209674,1.661741995293313,0.7704152989867274,0.04218793693515135,10,123,15,False,False,,0.7103 ± 0.0389,0.7071 ± 0.0397,13.15 ± 1.66,0.7704 ± 0.0422,0.7103 $\pm$ 0.0389,0.7071 $\pm$ 0.0397,13.15 $\pm$ 1.66,0.7704 $\pm$ 0.0422
T5-small,100,T5-small student results for FS=100.,tab:t5small_fs100,3.0,0.7,0.7100921052631579,0.03747426787195772,0.7065878906284957,0.038859372260506224,13.065211593299562,1.4292993806559553,0.7701869559012414,0.04064570227299541,10,123,16,False,False,,0.7101 ± 0.0375,0.7066 ± 0.0389,13.07 ± 1.43,0.7702 ± 0.0406,0.7101 $\pm$ 0.0375,0.7066 $\pm$ 0.0389,13.07 $\pm$ 1.43,0.7702 $\pm$ 0.0406
T5-small,100,T5-small student results for FS=100.,tab:t5small_fs100,0.5,0.7,0.7096447368421053,0.03431204292413347,0.7068381519720787,0.034953468508130914,14.357538260252719,2.2872339375632986,0.7697017268445839,0.037215859315458025,10,123,17,False,False,,0.7096 ± 0.0343,0.7068 ± 0.0350,14.36 ± 2.29,0.7697 ± 0.0372,0.7096 $\pm$ 0.0343,0.7068 $\pm$ 0.0350,14.36 $\pm$ 2.29,0.7697 $\pm$ 0.0372
T5-small,100,T5-small student results for FS=100.,tab:t5small_fs100,2.5,0.3,0.7096315789473684,0.036389016350080676,0.7049458955771175,0.03937529666192128,13.997771706878364,2.1703231851611333,0.7696874554017412,0.03946860628808524,10,123,18,False,False,,0.7096 ± 0.0364,0.7049 ± 0.0394,14.00 ± 2.17,0.7697 ± 0.0395,0.7096 $\pm$ 0.0364,0.7049 $\pm$ 0.0394,14.00 $\pm$ 2.17,0.7697 $\pm$ 0.0395
T5-small,100,T5-small student results for FS=100.,tab:t5small_fs100,2.5,0.7,0.7095657894736843,0.03673800298522727,0.7059776657199859,0.03800451293385745,13.85697480024343,1.5484256409063173,0.7696160981875269,0.03984712754213319,10,123,19,False,False,,0.7096 ± 0.0367,0.7060 ± 0.0380,13.86 ± 1.55,0.7696 ± 0.0398,0.7096 $\pm$ 0.0367,0.7060 $\pm$ 0.0380,13.86 $\pm$ 1.55,0.7696 $\pm$ 0.0398
